"title","body","image","Taxonomy type"
"PGA456",,"PGA456.jpg","Deep Carved"
"PGC289",,"PGC289.jpg","Deep Carved"
"PGC324",,"PGC324.jpg","Deep Carved"
"PGA202",,"PGA202.jpg","Deep Carved"
"PGC343",,"PGC343.jpg","Deep Carved"
"PGB137",,"PGB137.jpg","Deep Carved"
"PGB103",,"PGB103.jpg","Deep Carved"
"PGC221",,"PGC221.jpg","Deep Carved"
"PGA463",,"PGA463.jpg","Deep Carved"
"PGC506_1",,"PGC506_1.JPG","Deep Carved"
"PGC288",,"PGC288.jpg","Deep Carved"
"PGC378",,"PGC378.jpg","Deep Carved"
"PGA524",,"PGA524.jpg","Deep Carved"
"PGA472",,"PGA472.jpg","Deep Carved"
"PGC506_2",,"PGC506_2.JPG","Deep Carved"
"PGA513",,"PGA513.jpg","Deep Carved"
"PGC506_3",,"PGC506_3.JPG","Deep Carved"
"PGB107",,"PGB107.jpg","Deep Carved"
"PGA470",,"PGA470.jpg","Deep Carved"
"PGA267",,"PGA267.jpg","Deep Carved"
"PGC285",,"PGC285.jpg","Deep Carved"
"PGA467",,"PGA467.jpg","Deep Carved"
"PGA525",,"PGA525.jpg","Deep Carved"
"PGC327",,"PGC327.jpg","Deep Carved"
"PGC341",,"PGC341.jpg","Deep Carved"
"PGC270",,"PGC270.jpg","Deep Carved"
"PGA457",,"PGA457.jpg","Deep Carved"
"PGC294",,"PGC294.jpg","Deep Carved"
"PGC374",,"PGC374.jpg","Deep Carved"
"PGA238",,"PGA238.jpg","Deep Carved"
"PGC284",,"PGC284.jpg","Deep Carved"
"PGA512",,"PGA512.jpg","Deep Carved"
"PGC258",,"PGC258.jpg","Deep Carved"
"PGB136",,"PGB136.jpg","Deep Carved"
"PGC205",,"PGC205.jpg","Deep Carved"
"PGC337",,"PGC337.jpg","Deep Carved"
"PGC265",,"PGC265.jpg","Deep Carved"
"PGC332",,"PGC332.jpg","Deep Carved"
"PGC238",,"PGC238.jpg","Deep Carved"
"PGC300",,"PGC300.jpg","Deep Carved"
"PGC442a.tif",,"PGC442a.tif","Deep Carved"
"PGC442d.tif",,"PGC442d.tif","Deep Carved"
"PGA466",,"PGA466.jpg","Deep Carved"
"PGC286",,"PGC286.jpg","Deep Carved"
"PGC442c.tif",,"PGC442c.tif","Deep Carved"
"PGA460",,"PGA460.jpg","Deep Carved"
"PGC449.tif",,"PGC449.tif","Deep Carved"
"PGC442b.tif",,"PGC442b.tif","Deep Carved"
"PGA268",,"PGA268.jpg","Deep Carved"
"PGA459",,"PGA459.jpg","Deep Carved"
"PGA446",,"PGA446.jpg","Deep Carved"
"PGC372",,"PGC372.jpg","Deep Carved"
"PGC481",,"PGC481.jpg","Deep Carved"
"PGC312",,"PGC312.jpg","Deep Carved"
"PGC326",,"PGC326.jpg","Deep Carved"
"PGC340",,"PGC340.jpg","Deep Carved"
"PGC377",,"PGC377.jpg","Deep Carved"
"PGA265",,"PGA265.jpg","Deep Carved"
"PGC156",,"PGC156.jpg","Deep Carved"
"PGC234",,"PGC234.jpg","Deep Carved"
"PGC323",,"PGC323.jpg","Deep Carved"
"PGC202",,"PGC202.jpg","Deep Carved"
"PGB135",,"PGB135.jpg","Deep Carved"
"PGA301",,"PGA301.jpg","Deep Carved"
"PGA450",,"PGA450.jpg","Deep Carved"
"PGA443",,"PGA443.jpg","Deep Carved"
"PGA448",,"PGA448.jpg","Deep Carved"
"PGC239",,"PGC239.jpg","Deep Carved"
"PGA462",,"PGA462.jpg","Deep Carved"
"PGC259",,"PGC259.jpg","Deep Carved"
"PGA449",,"PGA449.jpg","Deep Carved"
"PGA442",,"PGA442.jpg","Deep Carved"
"PGC189",,"PGC189.jpg","Deep Carved"
"PGC330",,"PGC330.jpg","Deep Carved"
"PGA474",,"PGA474.jpg","Deep Carved"
"PGA441",,"PGA441.jpg","Deep Carved"
"PGA444",,"PGA444.jpg","Deep Carved"
"PGA416",,"PGA416.jpg","Deep Carved"
"PGB370",,"PGB370.jpg","Deep Carved"
"PGA465",,"PGA465.jpg","Deep Carved"
"PGC207",,"PGC207.jpg","Deep Carved"
"PGA506",,"PGA506.jpg","Deep Carved"
"PGC203",,"PGC203.jpg","Deep Carved"
"PGB110",,"PGB110.jpg","Deep Carved"
"PGC235",,"PGC235.jpg","Deep Carved"
"PGA468",,"PGA468.jpg","Deep Carved"
"PGA452",,"PGA452.jpg","Deep Carved"
"PGA212",,"PGA212.jpg","Deep Carved"
"PGB308",,"PGB308.jpg","Deep Carved"
"PGA230",,"PGA230.jpg","Deep Carved"
"PGC243",,"PGC243.jpg","Deep Carved"
"PGB111",,"PGB111.jpg","Deep Carved"
"PGB138",,"PGB138.jpg","Deep Carved"
"PGA241",,"PGA241.jpg","Deep Carved"
"PGA471",,"PGA471.jpg","Deep Carved"
"PGC231",,"PGC231.jpg","Deep Carved"
"PGB312",,"PGB312.jpg","Deep Carved"
"PGA475",,"PGA475.jpg","Deep Carved"
"PGA451",,"PGA451.jpg","Deep Carved"
"PGB139",,"PGB139.jpg","Deep Carved"
"PGC329",,"PGC329.jpg","Deep Carved"
"PGA523",,"PGA523.jpg","Deep Carved"
"PGA229",,"PGA229.jpg","Deep Carved"
"PGA473",,"PGA473.jpg","Deep Carved"
"PGC304",,"PGC304.jpg","Deep Carved"
"PGA511",,"PGA511.jpg","Deep Carved"
"PGA447",,"PGA447.jpg","Deep Carved"
"PGC480",,"PGC480.jpg","Deep Carved"
"PGA445",,"PGA445.jpg","Deep Carved"
"PGC314",,"PGC314.jpg","Deep Carved"
"PGC325",,"PGC325.jpg","Deep Carved"
"PGB113",,"PGB113.jpg","Deep Carved"
"PGA262",,"PGA262.jpg","Deep Carved"
"PGA461",,"PGA461.jpg","Deep Carved"
"PGB115",,"PGB115.jpg","Deep Carved"
"PGC293",,"PGC293.jpg","Deep Carved"
"PGB114",,"PGB114.jpg","Deep Carved"
"PGC494b",,"PGC494b.JPG","Deep Carved"
"PGB347",,"PGB347.jpg","Deep Carved"
"PGC318",,"PGC318.jpg","Deep Carved"
"PGB324",,"PGB324.jpg","Deep Carved"
"PGA464",,"PGA464.jpg","Deep Carved"
"PGA305",,"PGA305.jpg","Deep Carved"
"PGA231",,"PGA231.jpg","Deep Carved"
"PGC339",,"PGC339.jpg","Deep Carved"
"PGA266",,"PGA266.jpg","Deep Carved"
"PGC482",,"PGC482.jpg","Deep Carved"
"PGC182",,"PGC182.jpg","Deep Carved"
"PGA243",,"PGA243.jpg","Deep Carved"
"PGA415",,"PGA415.jpg","Deep Carved"
"PGC328",,"PGC328.jpg","Deep Carved"
"PGB307",,"PGB307.jpg","Deep Carved"
"PGB349",,"PGB349.jpg","Deep Carved"
"PGC334",,"PGC334.jpg","Deep Carved"
"PGC331",,"PGC331.jpg","Deep Carved"
"PGC232",,"PGC232.jpg","Deep Carved"
"PGB313",,"PGB313.jpg","Deep Carved"
"PGB120",,"PGB120.jpg","Deep Carved"
"PGC478",,"PGC478.jpg","Deep Carved"
"PGA215",,"PGA215.jpg","Deep Carved"
"PGB302",,"PGB302.jpg","Deep Carved"
"PGC316",,"PGC316.jpg","Deep Carved"
"PGA507",,"PGA507.jpg","Deep Carved"
"PGB108",,"PGB108.jpg","Deep Carved"
"PGC348",,"PGC348.jpg","Deep Carved"
"PGC319",,"PGC319.jpg","Deep Carved"
"PGC185",,"PGC185.jpg","Deep Carved"
"PGA240",,"PGA240.jpg","Deep Carved"
"PGB353",,"PGB353.jpg","Deep Carved"
"PGC305",,"PGC305.jpg","Deep Carved"
"PGC302",,"PGC302.jpg","Deep Carved"
"PGA411",,"PGA411.jpg","Deep Carved"
"PGA420",,"PGA420.jpg","Deep Carved"
"PGC303",,"PGC303.jpg","Deep Carved"
"PGC246",,"PGC246.jpg","Deep Carved"
"PGC224",,"PGC224.jpg","Deep Carved"
"PGA401",,"PGA401.jpg","Deep Carved"
"PGB354",,"PGB354.jpg","Deep Carved"
"PGB119",,"PGB119.jpg","Deep Carved"
"PGA438",,"PGA438.jpg","Deep Carved"
"PGA222",,"PGA222.jpg","Deep Carved"
"PGC223",,"PGC223.jpg","Deep Carved"
"PGA501",,"PGA501.jpg","Deep Carved"
"PGA203",,"PGA203.jpg","Deep Carved"
"PGA412",,"PGA412.jpg","Deep Carved"
"PGA205",,"PGA205.jpg","Deep Carved"
"PGA439",,"PGA439.jpg","Deep Carved"
"PGA508",,"PGA508.jpg","Deep Carved"
"PGA221",,"PGA221.jpg","Deep Carved"
"PGA414",,"PGA414.jpg","Deep Carved"
"PGA409",,"PGA409.jpg","Deep Carved"
"PGC335",,"PGC335.jpg","Deep Carved"
"PGA242",,"PGA242.jpg","Deep Carved"
"PGA421",,"PGA421.jpg","Deep Carved"
"PGA403",,"PGA403.jpg","Deep Carved"
"PGA216",,"PGA216.jpg","Deep Carved"
"PGB117",,"PGB117.jpg","Deep Carved"
"PGC163",,"PGC163.jpg","Deep Carved"
"PGB310",,"PGB310.jpg","Deep Carved"
"PGC309",,"PGC309.jpg","Deep Carved"
"PGA219",,"PGA219.jpg","Deep Carved"
